model,fpr,tpr,threshold
BERT Only,0.0,0.0,inf
BERT Only,0.0667,0.6842,0.98
BERT Only,0.0667,0.8421,0.9362
BERT Only,0.1333,0.8421,0.9203
BERT Only,0.1333,0.8947,0.8897
BERT Only,0.2667,0.8947,0.8641
BERT Only,0.2667,0.9474,0.8601
BERT Only,0.4,0.9474,0.7851
BERT Only,0.4,1.0,0.777
BERT Only,1.0,1.0,0.6078
XGBoost Only,0.0,0.0,inf
XGBoost Only,0.0,0.5789,0.9973
XGBoost Only,0.0,0.6316,0.9922
XGBoost Only,0.0,0.7368,0.9891
XGBoost Only,0.0,0.7895,0.9862
XGBoost Only,0.0,0.9474,0.985
XGBoost Only,0.0,1.0,0.9592
XGBoost Only,0.2,1.0,0.0137
XGBoost Only,0.4667,1.0,0.0078
XGBoost Only,1.0,1.0,0.0037
Fusion (Alpha=0.00),0.0,0.0,inf
Fusion (Alpha=0.00),0.0,0.5789,0.9973
Fusion (Alpha=0.00),0.0,0.6316,0.9922
Fusion (Alpha=0.00),0.0,0.7368,0.9891
Fusion (Alpha=0.00),0.0,0.7895,0.9862
Fusion (Alpha=0.00),0.0,0.9474,0.985
Fusion (Alpha=0.00),0.0,1.0,0.9592
Fusion (Alpha=0.00),0.2,1.0,0.0137
Fusion (Alpha=0.00),0.4667,1.0,0.0078
Fusion (Alpha=0.00),1.0,1.0,0.0037
