nlp_score,url_score,header_score,attachment_score,sender_behavior_score,label
0.98,0.8,1.0,0.0,0.0,PHISHING
0.98,0.6,0.85,0.0,0.85,PHISHING
0.98,0.5,0.45,0.0,0.0,PHISHING
0.8897,0.0,0.45,0.85,0.0,PHISHING
0.777,0.0,0.4,0.0,0.0,PHISHING
0.98,0.35,0.8,0.0,0.0,PHISHING
0.98,0.6,0.8,0.0,0.0,PHISHING
0.9362,0.8,1.0,0.0,0.0,PHISHING
0.98,0.35,0.0,0.0,0.0,PHISHING
0.98,0.8,1.0,0.0,0.0,PHISHING
0.98,0.6,0.85,0.0,0.0,PHISHING
0.98,0.35,0.0,0.0,0.0,PHISHING
0.9697,0.6,1.0,0.0,0.0,PHISHING
0.98,0.35,0.0,0.0,0.0,PHISHING
0.8601,0.8,1.0,0.0,0.0,PHISHING
0.98,0.6,0.8,0.0,0.0,PHISHING
0.98,0.6,0.8,0.85,0.0,PHISHING
0.98,0.0,1.0,0.75,0.0,PHISHING
0.9675,0.0,0.85,0.75,0.85,PHISHING
0.6802,0.0,0.0,0.0,0.0,SAFE
0.6244,0.0,0.0,0.0,0.0,SAFE
0.7235,0.0,0.0,0.0,0.0,SAFE
0.6078,0.0,0.0,0.0,0.0,SAFE
0.8053,0.0,0.0,0.0,0.0,SAFE
0.6181,0.0,0.0,0.0,0.0,SAFE
0.98,0.0,0.0,0.75,0.0,SAFE
0.76,0.0,0.0,0.0,0.0,SAFE
0.8641,0.0,0.0,0.0,0.0,SAFE
0.7167,0.0,0.0,0.0,0.0,SAFE
0.9203,0.0,0.0,0.0,0.0,SAFE
0.7851,0.0,0.0,0.0,0.0,SAFE
0.7687,0.0,0.0,0.0,0.0,SAFE
0.7465,0.0,0.45,0.0,0.0,SAFE
0.8795,0.0,0.0,0.0,0.0,SAFE
